player_id,player_name,team_abbreviation,primary_archetype,secondary_archetype,archetype_confidence,archetype_reasons,shooting_efficiency_category,shotquality_pbp_profile_label,shot_diet_profile_label,specialized_shooter_label,shot_diet_risk_label
1642792,Kiki Iriafen,WAS,Efficient Interior Anchor,Rim Pressure Finisher,0.76,paint-heavy shot diet with strong rebounding volume,Average Efficiency,Average Shot Quality Profile,Paint-Oriented,Rim Pressure Finisher,Clean Shot Profile
204329,Kiah Stokes,GSV,Spacing Guard/Wing,Balanced Three-Level Scorer,0.7,three-point volume is the clearest offensive value signal,Average Efficiency,Average Shot Quality Profile,Modern Shot Diet,Balanced Three-Level Scorer,Clean Shot Profile
1642291,Angel Reese,ATL,Efficient Interior Anchor,No Clear Shooting Specialty,0.76,paint-heavy shot diet with strong rebounding volume,Low Efficiency,High-Quality Shot Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1631086,Lexie Hull,IND,Spacing Guard/Wing,Balanced Three-Level Scorer,0.7,three-point volume is the clearest offensive value signal,Average Efficiency,Average Shot Quality Profile,Modern Shot Diet,Balanced Three-Level Scorer,Clean Shot Profile
1642290,Aaliyah Edwards,CON,Rim-Pressure Finisher,Midrange Specialist,0.7,watchlist workload keeps the signal promising but not fully eligible; rim-heavy profile creates paint pressure,Average Efficiency,Average Shot Quality Profile,Paint-Oriented,Midrange Specialist,Midrange-Heavy Risk
1628886,Jordin Canada,ATL,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Average Efficiency,Average Shot Quality Profile,Balanced Shot Diet,No Clear Shooting Specialty,Balanced / Low Risk
1630142,Leonie Fiebich,NYL,Shot-Making Wing,Corner Spacer,0.74,positive shot-making delta with real perimeter volume,Strong Efficiency,Average Shot Quality Profile,Modern Shot Diet,Corner Spacer,Clean Shot Profile
1643420,Laura Juskaite,TOR,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Average Efficiency,High-Quality Shot Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
204324,Dearica Hamby,LAS,Efficient Interior Anchor,No Clear Shooting Specialty,0.76,paint-heavy shot diet with strong rebounding volume,Average Efficiency,High-Quality Shot Profile,Paint-Oriented,No Clear Shooting Specialty,Clean Shot Profile
1642809,Saniya Rivers,CON,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Efficiency Concern,Tough Shot Profile,Midrange-Heavy,No Clear Shooting Specialty,Midrange-Heavy Risk
1630446,Michaela Onyenwere,WAS,Shot-Making Wing,Balanced Three-Level Scorer,0.74,positive shot-making delta with real perimeter volume,Strong Efficiency,Average Shot Quality Profile,Modern Shot Diet,Balanced Three-Level Scorer,Clean Shot Profile
1642296,Nyadiew Puoch,PDX,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,three-point volume is the clearest offensive value signal,Efficiency Concern,Average Shot Quality Profile,Perimeter-Leaning,No Clear Shooting Specialty,Clean Shot Profile
1642798,Dominique Malonga,SEA,High-Leverage Connector,Midrange Specialist,0.62,balanced profile without a single dominant value signal,Average Efficiency,Tough Shot Profile,Midrange-Heavy,Midrange Specialist,Midrange-Heavy Risk
1631136,Pauline Astier,NYL,High-Leverage Connector,Rim Pressure Finisher,0.62,balanced profile without a single dominant value signal,Strong Efficiency,Average Shot Quality Profile,Paint-Oriented,Rim Pressure Finisher,Balanced / Low Risk
1643506,Teja Oblak,PDX,Primary Engine,Balanced Three-Level Scorer,0.82,watchlist workload keeps the signal promising but not fully eligible; high usage paired with strong playmaking volume,Average Efficiency,Average Shot Quality Profile,Diversified Shot Profile,Balanced Three-Level Scorer,Balanced / Low Risk
1629477,Sabrina Ionescu,NYL,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,watchlist workload keeps the signal promising but not fully eligible; three-point volume is the clearest offensive value signal,Low Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1642292,Jacy Sheldon,CHI,Spacing Guard/Wing,Balanced Three-Level Scorer,0.7,three-point volume is the clearest offensive value signal,Average Efficiency,Average Shot Quality Profile,Modern Shot Diet,Balanced Three-Level Scorer,Clean Shot Profile
1629524,Bridget Carleton,PDX,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,three-point volume is the clearest offensive value signal,Average Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1643449,Charlisse Leger-Walker,CON,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Low Efficiency,Tough Shot Profile,Diversified Shot Profile,No Clear Shooting Specialty,Balanced / Low Risk
1642781,Georgia Amoore,WAS,Spacing Guard/Wing,High-Volume Low-Efficiency Shooter,0.7,three-point volume is the clearest offensive value signal,Low Efficiency,Average Shot Quality Profile,Modern Shot Diet,High-Volume Low-Efficiency Shooter,Clean Shot Profile
204365,Erica Wheeler,LAS,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,three-point volume is the clearest offensive value signal,Efficiency Concern,Tough Shot Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
201886,DeWanna Bonner,PHX,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,three-point volume is the clearest offensive value signal,Low Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1631141,Jade Melbourne,SEA,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Average Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1630442,Natasha Mack,PHX,Defense/Glass Value,Midrange Specialist,0.68,defensive event or rebounding value leads the profile,Strong Efficiency,Tough-Shot Maker,Unavailable Shot Diet,Midrange Specialist,Balanced / Low Risk
204330,Isabelle Harrison,TOR,Rim-Pressure Finisher,No Clear Shooting Specialty,0.7,watchlist workload keeps the signal promising but not fully eligible; rim-heavy profile creates paint pressure,Average Efficiency,Average Shot Quality Profile,Paint-Oriented,No Clear Shooting Specialty,Clean Shot Profile
1642804,Te-Hina Paopao,ATL,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,watchlist workload keeps the signal promising but not fully eligible; three-point volume is the clearest offensive value signal,Low Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1643447,Gabriela Jaquez,CHI,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Low Efficiency,Average Shot Quality Profile,Paint-Oriented,No Clear Shooting Specialty,Clean Shot Profile
1643436,Serah Williams,PDX,Rim-Pressure Finisher,No Clear Shooting Specialty,0.7,watchlist workload keeps the signal promising but not fully eligible; rim-heavy profile creates paint pressure,Low Efficiency,Average Shot Quality Profile,Paint-Oriented,No Clear Shooting Specialty,Midrange-Heavy Risk
1642800,Aneesah Morrow,CON,Defense/Glass Value,No Clear Shooting Specialty,0.68,defensive event or rebounding value leads the profile,Low Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1629501,Alanna Smith,DAL,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,watchlist workload keeps the signal promising but not fully eligible; three-point volume is the clearest offensive value signal,Low Efficiency,High-Quality Shot Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1629478,Katie Lou Samuelson,SEA,Spacing Guard/Wing,High-Volume Low-Efficiency Shooter,0.7,watchlist workload keeps the signal promising but not fully eligible; three-point volume is the clearest offensive value signal,Low Efficiency,Average Shot Quality Profile,Modern Shot Diet,High-Volume Low-Efficiency Shooter,Clean Shot Profile
1642777,Monique Akoa Makani,PHX,Shot-Making Wing,Midrange Specialist,0.74,watchlist workload keeps the signal promising but not fully eligible; positive shot-making delta with real perimeter volume,Average Efficiency,Tough-Shot Maker,Diversified Shot Profile,Midrange Specialist,Midrange-Heavy Risk
1642304,Carla Leite,PDX,Primary Engine,No Clear Shooting Specialty,0.82,high usage paired with strong playmaking volume,Average Efficiency,Tough Shot Profile,Midrange-Heavy,No Clear Shooting Specialty,Midrange-Heavy Risk
1629576,Maria Conde,TOR,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,three-point volume is the clearest offensive value signal,Low Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1629568,Kennedy Burke,CON,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,three-point volume is the clearest offensive value signal,Low Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1627700,Julie Allemand,TOR,Shot-Making Wing,Low-Volume Efficient Shooter,0.74,positive shot-making delta with real perimeter volume,Elite Efficiency,High-Quality Shots + Strong Making,Modern Shot Diet,Low-Volume Efficient Shooter,Clean Shot Profile
1631055,Nyara Sabally,TOR,Rim-Pressure Finisher,No Clear Shooting Specialty,0.7,rim-heavy profile creates paint pressure,Strong Efficiency,High-Quality Shots + Strong Making,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1642302,Isobel Borlase,ATL,Rising Sample Watch,No Clear Shooting Specialty,0.6,watchlist workload keeps the signal promising but not fully eligible,Average Efficiency,Average Shot Quality Profile,Paint-Oriented,No Clear Shooting Specialty,Clean Shot Profile
1643431,Madina Okot,ATL,Efficient Interior Anchor,Low-Volume Efficient Shooter,0.76,watchlist workload keeps the signal promising but not fully eligible; paint-heavy shot diet with strong rebounding volume,Strong Efficiency,High-Quality Shots + Strong Making,Modern Shot Diet,Low-Volume Efficient Shooter,Clean Shot Profile
1643445,Kiki Rice,TOR,Rim-Pressure Finisher,Low-Volume Efficient Shooter,0.7,watchlist workload keeps the signal promising but not fully eligible; rim-heavy profile creates paint pressure,Strong Efficiency,High-Quality Shots + Strong Making,Modern Shot Diet,Low-Volume Efficient Shooter,Clean Shot Profile
1631135,Olivia Nelson-Ododa,CON,Efficient Interior Anchor,Low-Volume Efficient Shooter,0.76,paint-heavy shot diet with strong rebounding volume,Strong Efficiency,Average Shot Quality Profile,Unavailable Shot Diet,Low-Volume Efficient Shooter,Specialist-Dependent
1628317,Karlie Samuelson,PDX,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,three-point volume is the clearest offensive value signal,Average Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1642307,Mackenzie Holmes,SEA,Shot-Making Wing,Low-Volume Efficient Shooter,0.74,watchlist workload keeps the signal promising but not fully eligible; positive shot-making delta with real perimeter volume,Elite Efficiency,Average Shot Quality Profile,Modern Shot Diet,Low-Volume Efficient Shooter,Clean Shot Profile
1643505,Jovana Nogic,PHX,Shot-Making Wing,Above-Break Spacer,0.74,positive shot-making delta with real perimeter volume,Average Efficiency,Average Shot Quality Profile,Modern Shot Diet,Above-Break Spacer,Clean Shot Profile
1630143,Luisa Geiselsoder,PDX,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,three-point volume is the clearest offensive value signal,Low Efficiency,Average Shot Quality Profile,Perimeter-Leaning,No Clear Shooting Specialty,Clean Shot Profile
203828,Stefanie Dolson,SEA,Shot-Making Wing,Perimeter Volume Threat,0.74,positive shot-making delta with real perimeter volume,Average Efficiency,Average Shot Quality Profile,Modern Shot Diet,Perimeter Volume Threat,Clean Shot Profile
1628899,Myisha Hines-Allen,IND,Rim-Pressure Finisher,No Clear Shooting Specialty,0.7,rim-heavy profile creates paint pressure,Average Efficiency,High-Quality Shot Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1630386,Awak Kuier,DAL,Defense/Glass Value,No Clear Shooting Specialty,0.68,defensive event or rebounding value leads the profile,Average Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1643455,Angela Dugalic,WAS,Rising Sample Watch,No Clear Shooting Specialty,0.6,watchlist workload keeps the signal promising but not fully eligible,Low Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1643427,Lauren Betts,WAS,Rim-Pressure Finisher,Rim Pressure Finisher,0.7,rim-heavy profile creates paint pressure,Average Efficiency,Tough-Shot Maker,Unavailable Shot Diet,Rim Pressure Finisher,Midrange-Heavy Risk
1642288,Rickea Jackson,CHI,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Low Efficiency,Tough Shot Profile,Midrange-Heavy,No Clear Shooting Specialty,Midrange-Heavy Risk
1642768,Kyara Linskens,PHX,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,three-point volume is the clearest offensive value signal,Low Efficiency,Average Shot Quality Profile,Diversified Shot Profile,No Clear Shooting Specialty,Balanced / Low Risk
1641650,Haley Jones,PDX,High-Leverage Connector,Low-Volume Efficient Shooter,0.62,balanced profile without a single dominant value signal,Strong Efficiency,Tough-Shot Maker,Paint-Oriented,Low-Volume Efficient Shooter,Spacing-Limited Profile
1643467,Cassandre Prosper,WAS,Rising Sample Watch,No Clear Shooting Specialty,0.6,watchlist workload keeps the signal promising but not fully eligible,Efficiency Concern,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1630097,Kaila Charles,GSV,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,three-point volume is the clearest offensive value signal,Low Efficiency,Tough Shot Profile,Perimeter-Leaning,No Clear Shooting Specialty,Clean Shot Profile
1643430,Cotie McMahon,WAS,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Low Efficiency,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1641651,Jordan Horston,SEA,Defense/Glass Value,No Clear Shooting Specialty,0.68,defensive event or rebounding value leads the profile,Efficiency Concern,Tough Shot Profile,Diversified Shot Profile,No Clear Shooting Specialty,Midrange-Heavy Risk
1643644,Alicia Florez,WAS,Rising Sample Watch,No Clear Shooting Specialty,0.6,watchlist workload keeps the signal promising but not fully eligible,Efficiency Concern,Average Shot Quality Profile,Diversified Shot Profile,No Clear Shooting Specialty,Clean Shot Profile
1643450,Rori Harmon,WAS,Spacing Guard/Wing,High-Volume Low-Efficiency Shooter,0.7,three-point volume is the clearest offensive value signal,Efficiency Concern,Tough Shot Profile,Unavailable Shot Diet,High-Volume Low-Efficiency Shooter,High Variance Profile
1642802,Lucy Olsen,WAS,High-Leverage Connector,No Clear Shooting Specialty,0.62,balanced profile without a single dominant value signal,Low Efficiency,Average Shot Quality Profile,Midrange-Heavy,No Clear Shooting Specialty,Midrange-Heavy Risk
1643647,Tima Pouye,TOR,Spacing Guard/Wing,No Clear Shooting Specialty,0.7,three-point volume is the clearest offensive value signal,Efficiency Concern,Average Shot Quality Profile,Modern Shot Diet,No Clear Shooting Specialty,Clean Shot Profile
1643453,Grace VanSlooten,IND,Shot-Making Wing,Low-Volume Efficient Shooter,0.74,positive shot-making delta with real perimeter volume,Elite Efficiency,High-Quality Shots + Strong Making,Paint-Oriented,Low-Volume Efficient Shooter,Clean Shot Profile
1627701,Temi Fagbenle,TOR,Rim-Pressure Finisher,Low-Volume Efficient Shooter,0.7,rim-heavy profile creates paint pressure,Strong Efficiency,High-Quality Shots + Strong Making,Modern Shot Diet,Low-Volume Efficient Shooter,Clean Shot Profile
1643527,Jordan Harrison,PDX,Rim-Pressure Finisher,No Clear Shooting Specialty,0.7,rim-heavy profile creates paint pressure,Efficiency Concern,High-Quality Shot Profile,Unavailable Shot Diet,No Clear Shooting Specialty,Specialist-Dependent
204333,Natasha Cloud,CHI,Spacing Guard/Wing,Balanced Three-Level Scorer,0.7,three-point volume is the clearest offensive value signal,Average Efficiency,Average Shot Quality Profile,Diversified Shot Profile,Balanced Three-Level Scorer,Clean Shot Profile
203824,Odyssey Sims,DAL,Rising Sample Watch,Midrange Specialist,0.6,watchlist workload keeps the signal promising but not fully eligible,Average Efficiency,Average Shot Quality Profile,Paint-Oriented,Midrange Specialist,Midrange-Heavy Risk
